"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"7","Dota 2","Jul 9, 2013","Free","N/A (N/A/90%)","200,000,000 .. 500,000,000","22:12 (12:14)","Valve","Valve"
"16","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","10:45 (02:56)","Grinding Gear Games","Grinding Gear Games"
"47","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","20,000,000 .. 50,000,000","17:04 (10:31)","Gaijin Entertainment","Gaijin Distribution KFT"
"71","PAYDAY 2","Aug 13, 2013","$9.99","N/A (N/A/79%)","20,000,000 .. 50,000,000","135:42 (124:01)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"163","Warframe","Mar 25, 2013","Free","N/A (N/A/69%)","10,000,000 .. 20,000,000","14:57 (05:07)","Digital Extremes","Digital Extremes"
"561","Project Zomboid","Nov 8, 2013","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","13:06 (04:40)","The Indie Stone","The Indie Stone"
"562","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","13:09 (06:02)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"12","Europa Universalis IV","Aug 13, 2013","$39.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","38:21 (35:45)","Paradox Development Studio, Paradox Tinto","Paradox Interactive"
"59","Company of Heroes 2","Jun 25, 2013","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","06:19 (10:44)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"117","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","04:27 (05:45)","Cryptic Studios","Gearbox Publishing"
"119","Arma 3","Sep 12, 2013","$5.99","N/A (N/A/74%)","5,000,000 .. 10,000,000","08:56 (05:20)","Bohemia Interactive","Bohemia Interactive"
"303","Cry of Fear","Apr 25, 2013","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:25 (00:12)","Team Psykskallar","Team Psykskallar"
"1","BioShock Infinite","Mar 25, 2013","$29.99","N/A (N/A/94%)","2,000,000 .. 5,000,000","12:21 (06:10)","Irrational Games, Virtual Programming (Linux)","2K"
"4","Deus Ex: Human Revolution - Director's Cut","Oct 25, 2013","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:00 (00:00)","Eidos Montreal","Eidos Interactive Corp."
"15","Saints Row IV: Re-Elected","Aug 19, 2013","$19.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","07:27 (03:43)","Deep Silver Volition","Deep Silver"
"17","Tomb Raider","Mar 4, 2013","$14.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:15 (00:20)","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)"
"24","Papers, Please","Aug 8, 2013","$9.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Lucas Pope","3909"
"26","RIFT","Oct 24, 2013","Free","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","gamigo US Inc.","gamigo US Inc."
"34","Skullgirls 2nd Encore","Aug 22, 2013","$24.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:01 (00:00)","Hidden Variable Studios","Autumn Games"
"57","Brutal Legend","Feb 26, 2013","$14.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","01:19 (00:39)","Double Fine Productions","Double Fine Productions"
"60","Outlast","Sep 4, 2013","$19.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","02:52 (02:36)","Red Barrels","Red Barrels"
"69","Call of Juarez: Gunslinger","May 22, 2013","$14.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","00:00 (00:00)","Techland","Techland Publishing"
"70","Don't Starve","Apr 23, 2013","$9.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","11:30 (11:30)","Klei Entertainment","Klei Entertainment"
"93","Sanctum 2","May 15, 2013","$2.99","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:00 (00:00)","Coffee Stain Studios","Coffee Stain Publishing"
"102","Shadowrun Returns","Jul 25, 2013","$14.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Harebrained Schemes","Paradox Interactive"
"103","Total War: ROME II - Emperor Edition","Sep 2, 2013","$59.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","20:14 (28:13)","CREATIVE ASSEMBLY","SEGA"
"118","Batman: Arkham Origins","Oct 24, 2013","$19.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:27 (00:13)","WB Games Montreal, Splash Damage","Warner Bros. Interactive Entertainment"
"131","Shadow Warrior","Sep 26, 2013","$29.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:00 (00:00)","Flying Wild Hog","Devolver Digital"
"147","Enclave","Oct 4, 2013","$4.99","N/A (N/A/71%)","2,000,000 .. 5,000,000","00:00 (00:00)","Starbreeze","Topware Interactive"
"162","Resident Evil 6","Mar 22, 2013","$29.99","N/A (N/A/69%)","2,000,000 .. 5,000,000","00:03 (00:02)","Capcom","Capcom"
"173","Age of Empires II (2013)","Apr 9, 2013","$19.99","N/A (N/A/68%)","2,000,000 .. 5,000,000","04:57 (05:44)","Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires","Xbox Game Studios"
"191","The Bureau: XCOM Declassified","Aug 19, 2013","$19.99","N/A (N/A/66%)","2,000,000 .. 5,000,000","00:00 (00:00)","2K Marin","2K"
"298","S.K.I.L.L. - Special Force 2 (Shooter)","Sep 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Dragonfly GF Co., LTD","Space Budgie"
"300","Just Cause 2: Multiplayer Mod","Dec 16, 2013","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Avalanche Studios","Square Enix"
"3","FEZ","May 1, 2013","$9.99","N/A (N/A/91%)","1,000,000 .. 2,000,000","00:00 (00:00)","Polytron Corporation","Trapdoor"
"5","Spelunky","Aug 8, 2013","$14.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:00 (00:00)","Mossmouth","Mossmouth"
"6","Brothers - A Tale of Two Sons","Sep 3, 2013","$14.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:00 (00:00)","Starbreeze Studios AB","505 Games"
"10","The Stanley Parable","Oct 17, 2013","$14.99","N/A (N/A/88%)","1,000,000 .. 2,000,000","00:00 (00:00)","Galactic Cafe","Galactic Cafe"
"21","Rogue Legacy","Jun 27, 2013","$14.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Cellar Door Games","Cellar Door Games"
"23","The Wolf Among Us","Oct 11, 2013","$14.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale","Telltale"
"27","Trine 2: Complete Story","Jun 6, 2013","$19.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Frozenbyte","Frozenbyte"
"32","Monaco: What's Yours Is Mine","Apr 24, 2013","$14.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Pocketwatch Games","Humble Games"
"46","Far Cry 3 - Blood Dragon","May 1, 2013","$14.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Montreal","Ubisoft"
"58","The Walking Dead: Season Two","Dec 17, 2013","$14.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Skybound Games"
"68","Injustice: Gods Among Us Ultimate Edition","Nov 12, 2013","$19.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","00:01 (00:00)","NetherRealm Studios, High Voltage Software","Warner Bros. Interactive Entertainment"
"80","Stronghold Crusader HD","Oct 21, 2013","$9.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:36 (00:36)","FireFly Studios","FireFly Studios"
"81","LEGO Marvel Super Heroes","Oct 22, 2013","$19.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","02:03 (01:07)","Traveller's Tales","Warner Bros. Interactive Entertainment"
"92","Resident Evil Revelations","May 20, 2013","$29.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:51 (00:25)","Capcom","Capcom"
"94","Risk of Rain (2013)","Nov 8, 2013","$9.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Hopoo Games","Gearbox Publishing"
"111","Poker Night 2","Apr 26, 2013","N/A","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Telltale Games"
"140","Amnesia: A Machine for Pigs","Sep 10, 2013","$19.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","The Chinese Room","Frictional Games"
"172","Game Dev Tycoon","Aug 29, 2013","$9.99","N/A (N/A/68%)","1,000,000 .. 2,000,000","95:19 (95:19)","Greenheart Games","Greenheart Games"
"206","Contagion","Oct 25, 2013","$9.99","N/A (N/A/62%)","1,000,000 .. 2,000,000","00:00 (00:00)","Monochrome, Inc","Monochrome, Inc"
"213","How to Survive","Oct 23, 2013","$14.99","N/A (N/A/60%)","1,000,000 .. 2,000,000","00:02 (00:01)","Eko Software","505 Games"
"233","Sniper: Ghost Warrior 2","Mar 11, 2013","$9.99","N/A (N/A/52%)","1,000,000 .. 2,000,000","00:02 (00:01)","City Interactive","CI Games"
"275","Portal 2 Sixense Perceptual Pack","Sep 20, 2013","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","","Sixense"
"291","Ragnarok Online 2","May 1, 2013","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Gravity, Inc.","Gravity Interactive"
"299","Old School RuneScape","Feb 22, 2013","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:49 (00:24)","Jagex Ltd","Jagex Ltd"
"541","Knights and Merchants","Oct 14, 2013","$6.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Topware Interactive","Topware Interactive"
"545","Viscera Cleanup Detail: Santa's Rampage","Dec 13, 2013","$2.49","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","RuneStorm","RuneStorm"
"552","Worms Armageddon","Mar 19, 2013","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Team17 Digital Ltd","Team17 Digital Ltd"
"555","Tom Clancy’s Splinter Cell Blacklist","Aug 20, 2013","$29.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Toronto","Ubisoft"
"557","Dust: An Elysian Tail","May 24, 2013","$14.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Humble Hearts LLC","Xbox Game Studios"
"559","ORION: Prelude","Apr 16, 2013","$0.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","DANKIE","DANKIE"
"560","FINAL FANTASY VII","Jul 4, 2013","$11.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Square Enix","Square Enix"
"2","System Shock 2","May 10, 2013","$9.99","N/A (N/A/92%)","500,000 .. 1,000,000","00:00 (00:00)","Nightdive Studios, Irrational Games, Looking Glass Studios","Nightdive Studios"
"8","Rayman Legends","Sep 3, 2013","$29.99","N/A (N/A/89%)","500,000 .. 1,000,000","00:00 (00:00)","","Ubisoft"
"9","Guacamelee! Gold Edition","Aug 8, 2013","$14.99","N/A (N/A/88%)","500,000 .. 1,000,000","00:00 (00:00)","DrinkBox Studios","DrinkBox Studios"
"14","Gone Home","Aug 15, 2013","$14.99","N/A (N/A/86%)","500,000 .. 1,000,000","00:00 (00:00)","Fullbright","Fullbright"
"36","Rising Storm Game of the Year Edition","May 30, 2013","$19.99","N/A (N/A/82%)","500,000 .. 1,000,000","00:00 (00:00)","Tripwire Interactive, Anti Matter Games","Tripwire Interactive"
"43","King Arthur's Gold","Nov 5, 2013","Free","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Transhuman Design","Transhuman Design"
"45","Stronghold HD (2012)","Oct 21, 2013","$5.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","FireFly Studios","FireFly Studios"
"51","Goodbye Deponia","Oct 17, 2013","$19.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"56","NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD","Oct 24, 2013","$19.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment"
"66","Race The Sun","Dec 9, 2013","$9.99","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Flippfly LLC","Flippfly LLC"
"67","State of Decay","Nov 5, 2013","N/A","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Undead Labs","Xbox Game Studios"
"76","Teleglitch: Die More Edition","Jul 24, 2013","$12.99","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Test3 Projects","Paradox Interactive"
"77","Dead Space 3","Feb 5, 2013","$19.99","N/A (N/A/78%)","500,000 .. 1,000,000","03:54 (01:57)","Visceral Games","Electronic Arts"
"86","Rise of Flight United","Sep 5, 2013","Free","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","777 Studios","1С-777 Limited"
"91","TrackMania² Stadium","Jun 20, 2013","$9.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Nadeo","Ubisoft"
"100","Crysis 3","Feb 19, 2013","N/A","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Crytek","Electronic Arts"
"101","SteamWorld Dig","Dec 5, 2013","$9.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Image & Form Games","Image & Form Games"
"110","Reus","May 16, 2013","$9.99","N/A (N/A/75%)","500,000 .. 1,000,000","00:00 (00:00)","Abbey Games","Abbey Games"
"115","Eador. Masters of the Broken World","Apr 19, 2013","$19.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Snowbird Games","Snowbird Games"
"129","Worms Clan Wars","Aug 15, 2013","$4.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Team17 Digital Ltd","Team17 Digital Ltd"
"139","Hammerwatch","Aug 12, 2013","$9.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Crackshell","Crackshell"
"141","The Incredible Adventures of Van Helsing","May 22, 2013","$14.99","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","NeocoreGames","NeocoreGames"
"154","ENSLAVED: Odyssey to the West Premium Edition","Oct 24, 2013","$19.99","N/A (N/A/70%)","500,000 .. 1,000,000","00:00 (00:00)","Ninja Theory","BANDAI NAMCO Entertainment"
"158","Megabyte Punch","Oct 15, 2013","$14.99","N/A (N/A/69%)","500,000 .. 1,000,000","00:00 (00:00)","Team Reptile","Team Reptile"
"194","Slender: The Arrival","Oct 28, 2013","$19.99","N/A (N/A/65%)","500,000 .. 1,000,000","00:00 (00:00)","Blue Isle Studios","Blue Isle Publishing"
"211","Sacred Citadel","Apr 16, 2013","$9.99","N/A (N/A/61%)","500,000 .. 1,000,000","00:00 (00:00)","Southend","THQ Nordic"
"232","Alien Rage - Unlimited","Sep 24, 2013","$19.99","N/A (N/A/52%)","500,000 .. 1,000,000","00:00 (00:00)","CI Games","CI Games"
"289","Soldier Front 2","Jul 3, 2013","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Dragonfly","Aeria Games"
"292","Kingdom Wars","Apr 1, 2013","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Reverie World Studios","Space Bullet Dynamics Corporation"
"293","Pinball Arcade","Nov 4, 2013","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","FarSight Studios","FarSight Studios"
"294","MARVEL Puzzle Quest","Dec 5, 2013","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Broken Circle Studios","505 Go Inc"
"295","Viscera Cleanup Detail: Shadow Warrior","Oct 11, 2013","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","RuneStorm","Devolver Digital"
"296","Panzar","Apr 12, 2013","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Panzar Studio","OVALIS INVESTMENTS LIMITED"
"297","Magic 2014 — Duels of the Planeswalkers","Jun 26, 2013","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Stainless Games","Wizards of the Coast LLC"
"434","Sid Meier’s Ace Patrol: Pacific Skies","Nov 5, 2013","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Firaxis Games","2K"
"462","Jack Orlando: Director's Cut","Oct 4, 2013","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Toontraxx Studios","Topware Interactive"
"493","KnightShift","Sep 27, 2013","$6.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Reality Pump","Topware Interactive"
"513","Dungeons & Dragons: Chronicles of Mystara","Jun 18, 2013","$4.94","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Iron Galaxy Studios","Capcom"
"539","Bloody Trapland","Nov 18, 2013","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","2Play","2Play"
"540","Receiver","Apr 29, 2013","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Wolfire Games","Wolfire Games"
"544","Interstellar Marines","Jul 2, 2013","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Zero Point Software","Zero Point Software"
"546","Cook, Serve, Delicious!","Oct 8, 2013","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Vertigo Gaming Inc.","Vertigo Gaming Inc."
"548","Tales of Maj'Eyal","Dec 12, 2013","$6.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Netcore Games","Netcore Games"
"549","Castlevania: Lords of Shadow – Ultimate Edition","Aug 27, 2013","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:33 (00:16)","MercurySteam, Climax Studios","KONAMI"
"551","FINAL FANTASY VIII","Dec 5, 2013","$11.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Square Enix","Square Enix"
"553","THE KING OF FIGHTERS XIII STEAM EDITION","Sep 13, 2013","$19.99","N/A (N/A)","500,000 .. 1,000,000","01:17 (00:38)","SNK CORPORATION","SNK CORPORATION"
"554","OMSI 2: Steam Edition","Dec 11, 2013","$29.99","N/A (N/A)","500,000 .. 1,000,000","06:01 (05:04)","MR-Software GbR","Aerosoft GmbH"
"558","Rocksmith 2014 Edition - Remastered","Oct 22, 2013","$9.99","N/A (N/A)","500,000 .. 1,000,000","11:40 (11:40)","Ubisoft - San Francisco","Ubisoft"
"11","The Swapper","May 30, 2013","$14.99","N/A (N/A/87%)","200,000 .. 500,000","00:00 (00:00)","Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano","Facepalm Games"
"13","Startopia","Oct 10, 2013","$6.99","N/A (N/A/86%)","200,000 .. 500,000","00:00 (00:00)","My Little Planet Ltd, Mucky Foot Productions Ltd","My Little Planet Ltd"
"19","Trials Evolution: Gold Edition","Mar 21, 2013","$19.99","N/A (N/A/85%)","200,000 .. 500,000","00:00 (00:00)","Redlynx Ltd, Ubisoft Shanghaï","Ubisoft"
"22","DmC: Devil May Cry","Jan 24, 2013","$29.99","N/A (N/A/85%)","200,000 .. 500,000","02:21 (02:20)","Ninja Theory","Capcom"
"30","Silent Storm Gold Edition","Oct 2, 2013","$9.99","N/A (N/A/83%)","200,000 .. 500,000","00:00 (00:00)","Nival","THQ Nordic"
"31","Valdis Story: Abyssal City","Oct 30, 2013","$14.99","N/A (N/A/83%)","200,000 .. 500,000","00:00 (00:00)","Endlessfluff Games","Endlessfluff Games"
"42","Kentucky Route Zero: PC Edition","Feb 22, 2013","$24.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Cardboard Computer","Cardboard Computer"
"44","The Cat Lady","Dec 4, 2013","$9.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","Harvester Games","Screen 7"
"49","Fallen Enchantress: Legendary Heroes","May 22, 2013","$24.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Stardock Entertainment","Stardock Entertainment"
"53","FATE","Dec 12, 2013","$4.79","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","WildTangent","WildTangent"
"55","140","Oct 16, 2013","$4.99","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Carlsen Games","Carlsen Games"
"64","Sang-Froid - Tales of Werewolves","Apr 5, 2013","Free","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Artifice Studio","Artifice Studio"
"65","The Dark Eye: Memoria","Aug 29, 2013","$19.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"73","Earth 2150 Trilogy","Nov 1, 2013","$6.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Reality Pump Studios","Topware Interactive, ACE"
"75","Desperados: Wanted Dead or Alive","Nov 20, 2013","$4.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Spellbound","THQ Nordic"
"78","Baldur's Gate II: Enhanced Edition","Nov 15, 2013","$19.99","N/A (N/A/78%)","200,000 .. 500,000","02:21 (01:10)","Beamdog","Beamdog"
"79","Baldur's Gate: Enhanced Edition","Jan 16, 2013","$19.99","N/A (N/A/78%)","200,000 .. 500,000","14:36 (21:06)","Beamdog","Beamdog"
"82","Anachronox","Oct 17, 2013","$6.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","","Square Enix"
"84","Anomaly 2","May 15, 2013","$14.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","11 bit studios","11 bit studios"
"87","Eldritch","Oct 21, 2013","$14.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Minor Key Games","Minor Key Games"
"88","Teslagrad","Dec 13, 2013","$9.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Rain Games","Rain Games"
"90","Ace Combat Assault Horizon - Enhanced Edition","Jan 25, 2013","N/A","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","NAMCO","BANDAI NAMCO Entertainment"
"99","Volgarr the Viking","Sep 13, 2013","$9.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Crazy Viking Studios","Crazy Viking Studios"
"106","Beatbuddy: Tale of the Guardians","Aug 6, 2013","$9.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Threaks","Threaks"
