"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"8059","Volt Patrol - Stealth Driving","Feb 19, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Visumeca Games","Visumeca Games"
"8060","Magic Twins","Mar 18, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Flying Beast Labs","Flying Beast Labs"
"8061","Dungeon Slime 2: Puzzle in the Dark Forest","Mar 29, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Daniel Siqueira Abdelnur","Pequi studios"
"8062","Desecrators","Mar 26, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Woodhound","Woodhound"
"8063","COPPER ODYSSEY","Jul 30, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CAM","CAM"
"8064","Hidden Shapes Animals - Jigsaw Puzzle Game","Apr 14, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YAW Studios","YAW Studios"
"8065","ChessBase 16 Steam Edition","Apr 20, 2021","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChessBase GmbH","ChessBase GmbH"
"8066","Ninja Frog","Jun 23, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cousins Factory","Cousins Factory"
"8067","Happenlance","Oct 22, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Miles Fogle, Phillip Trudeau-Tavara, Cyborg Primate","Miles Fogle, Phillip Trudeau-Tavara"
"8069","[TDA02] Muv-Luv Unlimited: THE DAY AFTER - Episode 02 REMASTERED","Jan 29, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","aNCHOR Inc., fuzz, Inc.","aNCHOR Inc."
"8070","Helper Cat","Sep 17, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Giant Head","Giant Head"
"8071","Peachleaf Pirates","Sep 27, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dog Kiss Studio","Digerati"
"8072","Cyber Rider","Aug 10, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meng Games","Meng Games"
"8074","Hero of the Demon","Aug 13, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mousou Endemic","OTAKU Plan"
"8075","PABG: PLAYER ANIME BATTLEGROUNDS","Dec 24, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game for games","Game for games"
"8077","Robogal","Sep 17, 2021","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Happy Max","Happy Max"
"8078","见习侦探","Jul 15, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","全能侦探社","全能侦探社"
"8080","Prop Hunt","Mar 26, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HorseGames","HorseGames"
"8082","Lighton: Duo","Mar 31, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Waidy Andrade","Cronostase"
"8083","Puzzle Light: One Move","May 27, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Waidy Andrade","Cronostase"
"8084","PRIMAL DUNGEON","Feb 4, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Old School Vibes","Old School Vibes"
"8085","Shindig","Sep 2, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Imaginary Friends Games LLP","Imaginary Friends Games LLP"
"8086","Castle Formers","Jul 12, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fernando Araujo","INK EYE Games"
"8087","夏まつりのハナビィ Hanaby's Summer Festival","Jul 16, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enigmatic Network","Enigmatic Network"
"8088","Bumballon","Dec 15, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Angelo Gamedev","Ratalaika Games S.L."
"8090","Alzheimer's: Memories","Jul 29, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gillian Yue","Gillian Yue"
"8091","War Mines: WW1","Jun 17, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The 6-month initiative","The 6-month initiative"
"8092","Typing Land","Nov 29, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","higopage","higopage"
"8093","Lambs on the road : The beginning","Jul 15, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Flynn's Arcade","Flynn's Arcade"
"8094","Guts And Goals","Aug 31, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CodeManu","PM Studios, inc."
"8095","44 Minutes in Nightmare","Mar 15, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Takashi Sowa","Takashi Sowa"
"8096","Lucky's Tale","Dec 9, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Playful Corp.","Playful Corp."
"8097","World for Two","Jul 16, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Seventh rank","room6, yokaze"
"8100","Worldwide Sports Fishing","Feb 3, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lotte|EoD","Agger Interactive"
"8102","Matanga 2","Sep 24, 2021","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MATANGA GAMES","MATANGA GAMES"
"8103","Pathfinders: Mini Words","Jun 3, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mens Sana Interactive","Mens Sana Interactive"
"8104","Confessions","Aug 18, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Peace & Love Games","Peace & Love Games"
"8105","●LIVE IN DUNGEON","Jun 4, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Heaviside Creations","Heaviside Creations"
"8106","Puzzletronics Digital Infinite","Apr 20, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Naoka Games","Naoka Games"
"8107","Classified Stories: The Tome of Myrkah","Apr 8, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RVL Games","RVL Games"
"8108","Gachi Dash","Nov 4, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BumbocsDev","MemesHub"
"8109","Insiders","Oct 29, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ANG People s.r.o.","ANG People s.r.o."
"8110","Crazy Santa","Dec 19, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Quarlellle","Quarlellle"
"8111","Usurper: Soulbound","Nov 2, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Caspian Interactive","Caspian Interactive"
"8112","MASAGORO","Mar 26, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DorsalFin Studio","DorsalFin Studio"
"8113","Sanity of Morris","Mar 23, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alterego Games","StickyLock Studios"
"8114","Nightmares to be","Aug 13, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WolfAndOthers","WolfAndOthers"
"8117","DIY MY LADY","Mar 20, 2021","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","William at Oxford","William at Oxford"
"8118","LaserZone","Jul 29, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GameCanvas Inc.","GameCanvas Inc."
"8119","Watch Over Christmas","Dec 21, 2021","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dionous Games","Dionous Games"
"8120","Kursor","Aug 19, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LM Games Studio","LM Games Studio"
"8121","Warp Factory","Jun 10, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Milo Brandt","Milo Brandt"
"8122","Howloween Hero","Oct 25, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gossamer Games","Gossamer Games"
"8123","Blockee - Sliding Puzzle","Feb 10, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","White Rose Games","White Rose Games"
"8125","WarDogs: Red's Return","Apr 29, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mito Games","QUByte Interactive"
"8126","Cellings","Dec 9, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Struct9","Struct9"
"8127","Habroxia 2","Feb 3, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lillymo Games","Lillymo Games"
"8128","Hyper Echelon","Nov 10, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GangoGames LLC","GangoGames LLC"
"8129","TF Visualizer","Dec 3, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TF","TF Studios"
"8130","Oatmeal","Jul 30, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tim Kashani","Fireapples"
"8131","Rabbit Riot","Apr 5, 2021","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Reactor Studios","Kovalev Gaming"
"8132","Storm Tale 2","Apr 15, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Green Sauce Games","Green Sauce Games"
"8133","Middle Age Conquest","Feb 22, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Musa GUNGOR","Musa GUNGOR"
"8134","異星病毒Alien virus","May 11, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ADO, Sand Traveler","ADO遊戲製作"
"8135","Super Plexis","Feb 19, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Medley Studios","Medley Studios"
"8136","Rise of Humanity","Oct 21, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cybernetic Walrus","Cybernetic Walrus"
"8137","100 Hidden Animalnaults - Felicat & Laika","Dec 20, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Animalle Studio","Animalle Studio"
"8139","S.W.A.N.: Chernobyl Unexplored","Apr 26, 2021","$12.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Volframe","Art Games Studio S.A."
"8140","Miner's Mettle","Nov 3, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Singular Scheme","Singular Scheme"
"8144","Escape Machine City: Airborne","Mar 3, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Loop Studios","Snapbreak"
"8145","Sunny Cafe","Dec 8, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GameNobility 遊戲貴族","Interwise Multimedia Corp.英特衛多媒體股份有限公司, Mayflower Entertainment, 小鹿遊戲"
"8146","Virtuous Western","Jun 17, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nibb Games","Nibb Games"
"8147","Open Sorcery: Sea++","Jan 25, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Abigail Corfman","Open Sorcery Games"
"8149","Triclinium","Dec 15, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Supergalactiс Gamedev","Supergalactiс Gamedev"
"8150","True Game","May 24, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","橙光游戏","橙光游戏"
"8151","Frontline: World War II","Jan 1, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Frontline: Games Series","Frontline: Games Series"
"8152","Casina: The Forgotten Comedy","May 27, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Neoclassic Games","Neoclassic Games"
"8153","Sacrificial Lighthouse","Oct 28, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PhobiaGamesNet","PhobiaGamesNet"
"8154","Gachi Dungeon Master","Mar 26, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Slippy Floor","Slippy Floor"
"8155","Felix The Toy","Mar 21, 2021","$0.55","N/A (N/A)","0 .. 20,000","00:00 (00:00)","XYX Games","Tero Lunkka, Valkeala Software"
"8156","Age of Fear 4: The Iron Killer","Apr 30, 2021","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Leslaw Sliwko","Age of Fear"
"8157","PIXASSO 3","Sep 3, 2021","$0.67","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Luci Entertainment","Luci Entertainment"
"8159","Asteroids: Recharged","Dec 14, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Adamvision Studios, SneakyBox","Atari"
"8160","Aluna: Sentinel of the Shards","May 26, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digiart Interactive, N-Fusion Interactive","Digiart Interactive"
"8161","门里","Dec 17, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","细分工作室","BD Games"
"8162","Jurassic Attack","Mar 27, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"8163","7th Chance","Jul 15, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stasis Booth Games","Stasis Booth Games"
"8164","封神榜 伏魔三太子（重制版）","Oct 12, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","艾露比工作室","艾露比工作室"
"8165","Legacy of Sin the father sacrifice","Oct 20, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Absolute Power Game Studio","Absolute Power Game Studio"
"8167","Learn Programming: Python - Retro","Feb 18, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Niema Moshiri","Niema Moshiri"
"8168","The Plane Effect","Sep 23, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Innovina/StudioKiku","PQube"
"8169","The Island","Aug 10, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ibis Games","Ibis Games"
"8170","Lightning Fast","Jun 18, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Steppe Games","Steppe Games"
"8171","Couch Monsters","Mar 24, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crunchy, Munch and Partners","Crunchy, Munch and Partners"
"8172","The Mermaid of Zennor","Apr 8, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ebi-hime","ebi-hime"
"8173","Romeow: to the cracked Mars","Aug 10, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Remix Games","Remix Games"
"8175","Unblock Me Car","Mar 24, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ShaganovDev","ShaganovDev"
"8176","Dungeon Color","Oct 12, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gagonfe","Gagonfe"
"8177","Alien Death Mob","May 20, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pug Fugly Games","Pug Fugly Games"
"8179","TouHou Music Recording","Dec 6, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","晨雾幻想·器乐团","星雨似剑"
"8180","Sword of the Stars: The Pit 2","Oct 22, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kerberos Productions","Kerberos Productions"
"8182","Magurele Mystery","Dec 3, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bomb Squad Games","Bomb Squad Games"
"8183","Pathfinders: Memories","Feb 16, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mens Sana Interactive","Mens Sana Interactive"
"8184","Zen World","Oct 7, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cartboard Games","Cartboard Games"
"8185","Saints and Sinners","Apr 16, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","threeW","threeW"
"8186","Bad boy simulator","Jan 2, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SoftWeather Games","SoftWeather Games"
"8187","Foglight Online","Feb 27, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DangerousBob Studio LLC","khukhrovr"
"8188","Charlie | The Legend","Oct 1, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fireblitz Games","Fireblitz Games"
"8189","BLUE WISH DESIRE","Nov 17, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","xxgameroom","xxgameroom"
"8190","times infinity","Apr 8, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","alreti circle","alreti circle"
"8191","Oneiro","Jun 18, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ryan Olah","Ryan Olah"
"8192","You, Calligrapher","Oct 24, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Patha Pradipa 挪灯人","LuciiDream 清醒梦"
"8193","STAY","Feb 26, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gleetch","Gleetch"
"8194","誰是犯案者 Who is the Criminal","Dec 3, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","莉莉恩工作室","莉莉恩工作室"
"8195","Cat way Domino","Mar 2, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Day Art's Games","Day Art's Games"
"8196","Math+Sticks - Coffee Break Club","Nov 14, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rukerama Studio","Rukerama Studio"
"8198","Dr. oil","Feb 26, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Antena","Antena"
"8199","PowerSlave (DOS Classic Edition)","Jul 27, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lobotomy Software","Throwback Entertainment, MIRROR Soft"
"8200","Raven's Hike","Sep 6, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wired Dreams Studio","Wired Dreams Studio"
"8201","Astral Masters","Nov 1, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Apus Software","Apus Software"
"8202","The Curse of Feldar Vale","Aug 30, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ian C Pook","Paphian Games"
"8203","单身狗的最后机会","Apr 8, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","小鱼工作室","小鱼工作室"
"8204","Lotus Reverie: First Nexus","Jan 14, 2021","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Keinart Lobre","Keinart Lobre"
"8205","A Little Shop in Squirrel Town","Jan 8, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Superluminal Cat","Superluminal Cat"
"8206","MazM: The Phantom of the Opera","Mar 25, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Growing Seeds","CFK Co., Ltd."
"8207","Decks & Daggers","Oct 8, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Osarion","Osarion"
"8208","Wall of insanity","Aug 19, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VenomizedArt","VenomizedArt"
"8209","The Dive","Aug 17, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","W0nnaFight","W0nnaFight"
"8210","Dinosaurs Prehistoric Survivors","Aug 13, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Arcupion Art","Arcupion Art"
"8211","Princess Castle Quest","Mar 24, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Piggybank Studios","Piggybank Studios"
"8213","The Legend of Bear-Truck Trucker","Apr 30, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Captain Games","Captain Games"
"8214","In Next Life","Dec 21, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dual Decade","Wereviz AB"
"8215","Mighty Fight Federation","Mar 1, 2021","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Komi Games Inc.","Forthright Entertainment"
"8216","Hidden Shapes Lovely Cats - Jigsaw Puzzle Game","May 21, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YAW Studios","YAW Studios"
"8217","DOOMBRINGER","Jun 4, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anomic Games","Anomic Games"
"8218","Rising Constellation","Oct 27, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blackflag Games","Blackflag Games"
"8219","The Cloud Dream of the Nine","Dec 20, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sesisoft","Sesisoft"
"8220","SEARCH ALL - CANDY","Nov 14, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Laush Dmitriy Sergeevich","Laush Studio"
"8221","Wheel of Fate","Feb 12, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","UDX Interactive Inc., Game Pill Inc.","UDX Interactive Inc."
"8222","Nyctophobia: Devil Unleashed","Jul 7, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Solitary Games","Lamina Studios"
"8223","Lucid Cycle","Feb 19, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tonguç Bodur","Tonguç Bodur"
"8225","Disc Golf Valley VR","May 19, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Spinoff Games","Spinoff Games"
"8226","Vantage: Primitive Survival Game","Dec 2, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crystal Dragon","Crystal Dragon"
"8227","X-17","Apr 5, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Panzer Gaming","Volens Nolens Games"
"8229","Tied by your Red","Nov 28, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yurif","Yurif, Light of Creators"
"8230","Balloon Flight","Jun 1, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cyberwave","Cyberwave"
"8231","Panqueca & Paçoca: A Friendship Jigsaw","Jun 17, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Opala Project","Opala Project"
"8233","Quickly, Quackley!","Jun 9, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JXT","Black Country Games"
"8234","Super Grave Snatchers","Sep 30, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Night Job Games","Night Job Games"
"8235","Head 2 Head","Jun 28, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ArcForged","ArcForged"
"8236","Puzzletronics Analog Eletronics","Mar 24, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Naoka Games","Naoka Games"
"8237","Water Physics Simulation","Oct 6, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gaming-Apps.com","Gaming-Apps.com"
"8238","Gwan Moon High School : The Ghost Gate","Mar 12, 2021","$18.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Studio AWE","Studio AWE"
"8239","Trump Loves Russia","Aug 11, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SeedWall","SeedWall"
"8240","Sons of Ra","Apr 15, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pharaoh Hound Games","Pharaoh Hound Games"
"8243","DRINK BAR MAID -REGRESSION-","Feb 12, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","瀧音MELO","WASABI entertainment"
"8244","Jacob The Farmer","Apr 15, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Quarlellle","Quarlellle"
"8245","Skid Cities","Feb 25, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vittorio Banfi","Vittorio Banfi"
"8246","The Glade","Nov 15, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Michael Schade","Michael Schade"
"8248","Trick & Treat Remake","Sep 24, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rabbiton","Rabbiton"
"8249","Head AS Code","Feb 9, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Miracle Moon","Miracle Moon"
"8250","Adventure Bit","Jan 11, 2021","$0.55","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEEP","SEEP"
"8251","Swords & Bones","Mar 1, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEEP","SEEP"
"8252","PuzzlePet - Feed your cat","Mar 26, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tribus Games Indie","Tribus Games Indie"
"8253","Flex hooks","May 24, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thedox Games","Thedox Games"
"8254","Cave Quest 2","Aug 24, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MD Studio","MD Studio"
"8255","Flowering Across 樱下花期","Jun 4, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","凝冰剑斩","凝冰剑斩"
"8256","*NEW* SCUFFED EPIC VISUAL NOVEL","Jun 23, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chris Shanaz, Scuffed Development","shanaz game studios"
"8257","Toilet Flushing Simulator","Oct 21, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hunted Media","Hunted Media"
"8258","Mini Words: Polyglot","Mar 18, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mens Sana Interactive","Mens Sana Interactive"
"8259","幸存者乐园","Aug 28, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","幸存者乐园","幸存者乐园"
"8260","Rocket Skates VR","Apr 16, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EpiXR Games UG","EpiXR Games UG"
"8261","PIXASSO","Aug 14, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Luci Entertainment","Luci Entertainment"
"8262","Planet Miner","May 4, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cherniukh Andrii, HornetStudio","Cherniukh Andrii"
"8264","Motherland","Nov 11, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Andreev Worlds","My Way Games"
"8265","汽车帝国","Aug 13, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shanghai huan zhen Info Tech Ltd","Shanghai huan zhen Info Tech Ltd"
"8266","my brother lives in a canyon","Jul 22, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kenneth Dodrill","Kenneth Dodrill"
"8267","Make a Path for the Chicken","Aug 31, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LeJunesArt","LeJunesArt"
"8268","There Will Be No Turkey This Christmas","Dec 15, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Creative Hand","Creative Hand"
"8269","Pawn of the Dead","Feb 19, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aslan Game Studio","Aslan Game Studio"
"8270","The Teleport","Jun 29, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Emre Abali","Emre Abali"
"8271","Lone McLonegan : A Western Adventure","Nov 3, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sonomio Games","Sonomio Games"
"8272","Stickit","Dec 12, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Symfonim","Symfonim"
